dev,dev_type,dev_loc,dev_abs,isi,no_tones,base_freq,freq_dev,freq_dev_type,freq_loc,freq_dev_no,trial_no,block_no,iti,freq_diff,freq_diff_abs
-4,early,4,4,700,7,192,[False],['standard'],[False],0,1,1,2318,[False],[False]
,,,,700,7,40000,,,,,2,1,2309,[False],[False]
8,late,5,8,700,7,440,[192],['lower'],[7],1,3,1,2058,[-248],[248]
-125,early,4,125,700,7,192,"[220, 392, 440]","['higher', 'higher', 'higher']","[6, 7, 3]",3,4,1,2128,"[28, 200, 248]","[28, 200, 248]"
,,,,700,7,40000,,,,,5,1,2092,[False],[False]
0,on_time,4,0,700,7,192,[False],['standard'],[False],0,6,1,2235,[False],[False]
-48,early,4,48,700,7,192,"[440, 392, 220]","['higher', 'higher', 'higher']","[6, 3, 2]",3,7,1,2122,"[248, 200, 28]","[248, 200, 28]"
,,,,700,7,40000,,,,,8,1,2173,[False],[False]
0,on_time,6,0,700,7,440,"[392, 392]","['lower', 'lower']","[4, 5]",2,9,1,2023,"[-48, -48]","[48, 48]"
-8,early,5,8,700,7,392,"[440, 192]","['higher', 'lower']","[4, 2]",2,10,1,2386,"[48, -200]","[48, 200]"
,,,,700,7,40000,,,,,11,1,2169,[False],[False]
-100,early,5,100,700,7,220,"[392, 392, 392]","['higher', 'higher', 'higher']","[7, 4, 2]",3,12,1,2095,"[172, 172, 172]","[172, 172, 172]"
,,,,700,7,40000,,,,,13,1,2290,[False],[False]
63,late,5,63,700,7,440,[False],['standard'],[False],0,14,1,2490,[False],[False]
-8,early,6,8,700,7,440,"[220, 392]","['lower', 'lower']","[4, 5]",2,15,1,2467,"[-220, -48]","[220, 48]"
,,,,700,7,40000,,,,,16,1,2163,[False],[False]
-63,early,6,63,700,7,220,"[192, 440]","['lower', 'higher']","[2, 4]",2,17,1,2164,"[-28, 220]","[28, 220]"
,,,,700,7,40000,,,,,18,1,2005,[False],[False]
19,late,6,19,700,7,440,"[220, 392]","['lower', 'lower']","[5, 2]",2,19,1,2175,"[-220, -48]","[220, 48]"
,,,,700,7,40000,,,,,20,1,2378,[False],[False]
13,late,5,13,700,7,192,[220],['higher'],[3],1,21,1,2482,[28],[28]
-63,early,5,63,700,7,440,[392],['lower'],[3],1,22,1,2427,[-48],[48]
