dev,dev_type,dev_loc,dev_abs,isi,no_tones,base_freq,freq_dev,freq_dev_type,freq_loc,freq_dev_no,trial_no,block_no,iti,freq_diff,freq_diff_abs
-4,early,4,4,700,7,192,"[220, 220, 220]","['higher', 'higher', 'higher']","[3, 2, 6]",3,1,1,2008,"[28, 28, 28]","[28, 28, 28]"
,,,,700,7,40000,,,,,2,1,2261,[False],[False]
8,late,4,8,700,7,220,[False],['standard'],[False],0,3,1,2426,[False],[False]
,,,,700,7,40000,,,,,4,1,2336,[False],[False]
8,late,5,8,700,7,220,[192],['lower'],[3],1,5,1,2392,[-28],[28]
-36,early,4,36,700,7,392,"[440, 220]","['higher', 'lower']","[2, 6]",2,6,1,2450,"[48, -172]","[48, 172]"
,,,,700,7,40000,,,,,7,1,2144,[False],[False]
-36,early,6,36,700,7,392,[False],['standard'],[False],0,8,1,2476,[False],[False]
13,late,6,13,700,7,392,[192],['lower'],[4],1,9,1,2203,[-200],[200]
,,,,700,7,40000,,,,,10,1,2415,[False],[False]
36,late,4,36,700,7,392,"[220, 192]","['lower', 'lower']","[6, 3]",2,11,1,2018,"[-172, -200]","[172, 200]"
13,late,4,13,700,7,392,"[440, 220]","['higher', 'lower']","[3, 2]",2,12,1,2341,"[48, -172]","[48, 172]"
63,late,5,63,700,7,392,"[192, 192]","['lower', 'lower']","[3, 2]",2,13,1,2060,"[-200, -200]","[200, 200]"
,,,,700,7,40000,,,,,14,1,2075,[False],[False]
63,late,6,63,700,7,220,[392],['higher'],[5],1,15,1,2373,[172],[172]
27,late,5,27,700,7,440,[392],['lower'],[4],1,16,1,2188,[-48],[48]
,,,,700,7,40000,,,,,17,1,2043,[False],[False]
8,late,5,8,700,7,220,[192],['lower'],[3],1,18,1,2111,[-28],[28]
-48,early,4,48,700,7,192,"[440, 220, 440]","['higher', 'higher', 'higher']","[7, 6, 3]",3,19,1,2478,"[248, 28, 248]","[248, 28, 248]"
,,,,700,7,40000,,,,,20,1,2437,[False],[False]
-63,early,5,63,700,7,220,"[392, 392]","['higher', 'higher']","[4, 2]",2,21,1,2343,"[172, 172]","[172, 172]"
4,late,6,4,700,7,192,[False],['standard'],[False],0,22,1,2248,[False],[False]
,,,,700,7,40000,,,,,23,1,2367,[False],[False]
8,late,4,8,700,7,220,[False],['standard'],[False],0,24,1,2308,[False],[False]
19,late,6,19,700,7,440,[192],['lower'],[3],1,25,1,2381,[-248],[248]
,,,,700,7,40000,,,,,26,1,2021,[False],[False]
80,late,4,80,700,7,220,[False],['standard'],[False],0,27,1,2010,[False],[False]
-27,early,5,27,700,7,220,"[392, 192, 440]","['higher', 'lower', 'higher']","[7, 4, 3]",3,28,1,2228,"[172, -28, 220]","[172, 28, 220]"
13,late,4,13,700,7,392,"[440, 220]","['higher', 'lower']","[3, 2]",2,29,1,2133,"[48, -172]","[48, 172]"
,,,,700,7,40000,,,,,30,1,2267,[False],[False]
0,on_time,6,0,700,7,220,[192],['lower'],[3],1,31,1,2388,[-28],[28]
13,late,6,13,700,7,392,[192],['lower'],[4],1,32,1,2292,[-200],[200]
,,,,700,7,40000,,,,,33,1,2130,[False],[False]
80,late,5,80,700,7,220,[192],['lower'],[7],1,34,1,2252,[-28],[28]
-13,early,4,13,700,7,192,[440],['higher'],[3],1,35,1,2407,[248],[248]
0,on_time,5,0,700,7,220,[False],['standard'],[False],0,36,1,2357,[False],[False]
-80,early,6,80,700,7,440,"[192, 192, 392]","['lower', 'lower', 'lower']","[4, 2, 3]",3,37,1,2317,"[-248, -248, -48]","[248, 248, 48]"
-100,early,4,100,700,7,192,[False],['standard'],[False],0,38,1,2205,[False],[False]
,,,,700,7,40000,,,,,39,1,2147,[False],[False]
-125,early,5,125,700,7,192,[False],['standard'],[False],0,40,1,2291,[False],[False]
36,late,6,36,700,7,220,[392],['higher'],[4],1,41,1,2225,[172],[172]
,,,,700,7,40000,,,,,42,1,2313,[False],[False]
125,late,5,125,700,7,440,"[392, 392, 392]","['lower', 'lower', 'lower']","[4, 3, 7]",3,43,1,2268,"[-48, -48, -48]","[48, 48, 48]"
63,late,4,63,700,7,220,"[440, 440]","['higher', 'higher']","[6, 7]",2,44,1,2294,"[220, 220]","[220, 220]"
,,,,700,7,40000,,,,,45,1,2435,[False],[False]
19,late,4,19,700,7,192,[False],['standard'],[False],0,46,1,2219,[False],[False]
-80,early,5,80,700,7,220,[440],['higher'],[4],1,47,1,2433,[220],[220]
,,,,700,7,40000,,,,,48,1,2196,[False],[False]
-125,early,4,125,700,7,220,[False],['standard'],[False],0,49,1,2152,[False],[False]
-100,early,5,100,700,7,440,[False],['standard'],[False],0,50,1,2235,[False],[False]
13,late,6,13,700,7,392,[192],['lower'],[4],1,51,1,2045,[-200],[200]
,,,,700,7,40000,,,,,52,1,2323,[False],[False]
63,late,6,63,700,7,220,[392],['higher'],[5],1,53,1,2350,[172],[172]
-27,early,5,27,700,7,220,"[392, 192, 440]","['higher', 'lower', 'higher']","[7, 4, 3]",3,54,1,2089,"[172, -28, 220]","[172, 28, 220]"
-80,early,5,80,700,7,220,[440],['higher'],[4],1,55,1,2298,[220],[220]
-4,early,4,4,700,7,192,"[220, 220, 220]","['higher', 'higher', 'higher']","[3, 2, 6]",3,56,1,2020,"[28, 28, 28]","[28, 28, 28]"
,,,,700,7,40000,,,,,57,1,2076,[False],[False]
-4,early,4,4,700,7,192,"[220, 220, 220]","['higher', 'higher', 'higher']","[3, 2, 6]",3,58,1,2050,"[28, 28, 28]","[28, 28, 28]"
63,late,6,63,700,7,220,[392],['higher'],[5],1,59,1,2063,[172],[172]
0,on_time,6,0,700,7,220,"[440, 440]","['higher', 'higher']","[2, 3]",2,60,1,2482,"[220, 220]","[220, 220]"
,,,,700,7,40000,,,,,61,1,2258,[False],[False]
-125,early,6,125,700,7,220,[False],['standard'],[False],0,62,1,2024,[False],[False]
,,,,700,7,40000,,,,,63,1,2233,[False],[False]
13,late,5,13,700,7,192,"[220, 220]","['higher', 'higher']","[3, 2]",2,64,1,2019,"[28, 28]","[28, 28]"
,,,,700,7,40000,,,,,65,1,2245,[False],[False]
-48,early,6,48,700,7,220,"[392, 392, 192]","['higher', 'higher', 'lower']","[3, 2, 5]",3,66,1,2249,"[172, 172, -28]","[172, 172, 28]"
,,,,700,7,40000,,,,,67,1,2154,[False],[False]
27,late,6,27,700,7,192,[False],['standard'],[False],0,68,1,2264,[False],[False]
100,late,6,100,700,7,392,"[220, 220, 192]","['lower', 'lower', 'lower']","[3, 4, 2]",3,69,1,2492,"[-172, -172, -200]","[172, 172, 200]"
,,,,700,7,40000,,,,,70,1,2366,[False],[False]
-8,early,5,8,700,7,440,"[392, 392]","['lower', 'lower']","[7, 4]",2,71,1,2316,"[-48, -48]","[48, 48]"
,,,,700,7,40000,,,,,72,1,2156,[False],[False]
0,on_time,5,0,700,7,220,[False],['standard'],[False],0,73,1,2359,[False],[False]
-27,early,5,27,700,7,220,"[392, 192, 440]","['higher', 'lower', 'higher']","[7, 4, 3]",3,74,1,2386,"[172, -28, 220]","[172, 28, 220]"
,,,,700,7,40000,,,,,75,1,2432,[False],[False]
80,late,4,80,700,7,220,[False],['standard'],[False],0,76,1,2117,[False],[False]
